Text,Emotion
I love @therealsavannah! Thank you SO much for saying &quot;hi to Jenn &amp; Laura&quot; yesterday in Arcadia! My friend Shannon surprised me w/the vid,surprise
"&quot;somebody calls you, and you answer quite slowly, a girl with kaleidoscope eyes&quot;     yeah, im normal.",surprise
i feel that the leader i admired is being selfish,love
i didnt know whether or not to feel flattered or some sort of disgusted,anger
i wake up it hurts knowing that i could have ever possibly done anything to hurt this person to ever make him feel pain or lack of trusting,joy
i just feel totally devastated,sadness
"` Poor things , no life of their own , "" they say , simultaneously thrilled and appalled as they pore over the latest ` revelations "" in the Mail or Expr",joy
i was going to feel worthless around skinny people while i m humungous,sadness
i feel like people seem to be intimidated by me or this blog,fear
i doubt theres any greater reluctance by federal authorities to employ tear gas and plain force if they feel threatened,fear
"Suddenly , to the Collector 's astonishment , the Padre gripped him by the throat and shouted : "" A matter of o",surprise
i just remember spending hours trying to bump my score above the mark and feeling frustrated by the questions they were a mixture of professor generated and usmleasy ones,anger
i feel ok an that kai can take the emotions that he will be feeling today,joy
i feel extremely discontent right now,sadness
i cant shake off my feelings of being offended and hurt no matter how hard i try and the conversation keeps consuming my every thought,anger
i didnt feel she was being selfish and completely understood where she was coming from,anger
im feeling positive but its impossible to describe the busy exhausted adrenaline filled craziness of having a preemie in the nicu,joy
i always feel a little shy in those situations and then nervous that my shyness is making me seem aloof,fear
@tinchystryder .. Eh .. have u never heard of Belfast..? Where like EVERYONE loves you!?!,surprise
im quite sore today and physically just feeling exhausted and burnt out,sadness
i always had this negative perception when i was asked about getting pregnant and my misscariage i always walked away from those conversations feeling somewhat offended,anger
@shutterbutter @daveydollar ... Way to rub it in guys! Send everyone my love  wish I could be there,surprise
i enjoy hearing the faith stories of other believers sometimes these stories leave me feeling inadequate and guilty,sadness
i do feel sympathetic to the parties involved now that their careers are down the drain,love
i feel very very rich and fulfilled and a part of the grand scheme of the universe,joy
i feel like i get more and more frantic with no clue which way to turn what direction my life is going or if i should even care,fear
i walked away from the weekend feeling simply dirty like i had done something really harmful and this feeling more than anything is what overpowers my feeble attempts to justify my actions last weekend,sadness
I just received a mothers day card from my lovely daughter wishing my a happy mothers day  http://tr.im/kWK9,love
i don t always feel like i have amazing style and most days i choose comfort over anything else but there is one thing that i feel makes all the difference in how i feel about myself and that is makeup,surprise
i was feeling reassured,joy
@alibalijeweller I'm come and try to find you and be your fan too,love
i feel regretful that i didnt bring overnight gear,sadness
"@selenagomez I hope you had fun in Canada  don't worry you'll see then again this summer,",surprise
i could not help feeling thatrupert meant to be rude to my father though his words were quite polite,anger
